 ,Area,Mean,Min,Max
1,443,5088.156,3382,6816
2,290,4619.883,3409,6133
3,361,4412.784,3383,5794
4,466,4382.142,3382,5724
5,306,4510.882,3386,5891
6,273,4430.194,3389,5749
7,296,4181.993,3382,5296
8,273,6064.286,3384,8467
9,330,4862.188,3392,6202
10,293,4494.939,3416,6183
11,343,4498.510,3391,5672
12,259,3839.039,3385,5058
13,292,4224.247,3394,5295
14,287,3942.700,3391,4661
15,349,4078.968,3382,5266
16,390,4105.772,3384,5346
17,340,4505.462,3397,5513
18,320,4582.556,3393,5983
19,343,4770.362,3392,6624
20,298,4334.510,3384,5393
21,363,4735.433,3382,6502
22,267,4146.569,3382,5097
23,376,4569.388,3396,5912
24,488,8317.219,3391,14583
25,355,4710.524,3386,6531
26,433,5075.048,3385,6989
27,303,4219.046,3385,5172
28,347,4283.268,3388,5170
29,352,4830.378,3382,6525
30,487,4937.337,3396,7033
31,295,4478.603,3389,5624
32,294,4273.680,3383,5229
33,333,4341.670,3385,5602
34,259,4782.023,3383,7241
35,278,6641.496,3470,10128
36,347,4123.006,3382,5144
37,356,5069.699,3384,6915
38,351,4171.923,3392,5436
39,341,4059.217,3383,5007
40,221,3910.905,3385,4976
41,299,4218.722,3383,5222
42,494,5063.721,3390,7505
43,354,4534.545,3383,5780
44,291,4941.086,3384,6651
45,356,4549.101,3387,5908
46,409,4004.787,3386,4944
47,296,5991.956,3388,8402
48,275,3825.185,3382,4580
49,354,4400.220,3383,5908
50,163,4953.049,3418,6473
51,375,4650.827,3410,6224
52,356,5204.289,3409,7204
53,421,5620.444,3390,7321
54,399,4334.145,3383,5553
55,454,5155.857,3390,6662
56,335,5944.448,3420,8046
57,321,5414.819,3440,7168
58,403,4587.521,3407,5876
59,236,5275.610,3427,7973
60,342,5437.266,3387,6973
61,325,4273.674,3412,5327
62,385,5553.431,3387,7513
63,307,5150.805,3429,6851
64,288,4314.656,3388,6052
65,346,4779.578,3390,6582
66,477,5646.623,3397,8142
67,357,4865.471,3398,6328
68,284,4103.465,3386,5358
69,241,4341.087,3405,5493
70,436,5415.087,3395,6991
71,340,4152.735,3386,5067
72,314,5788.029,3404,7765
73,334,4203.751,3393,5583
74,356,4331.225,3384,5529
75,302,4201.467,3382,5216
76,425,4068.911,3385,5300
77,259,6915.737,3388,9837
78,372,4864.172,3393,6751
79,421,5523.948,3386,7197
80,472,5582.752,3402,7628
81,256,4225.492,3387,5185
82,204,3880.172,3392,4602
83,377,4813.005,3395,6653
84,277,4375.022,3382,5423
85,337,5366.884,3407,7672
86,241,3995.017,3400,4903
87,316,4653.354,3384,6035
88,316,5719.022,3434,8380
89,472,5903.642,3468,7876
90,354,4719.650,3384,6228
91,389,4768.134,3411,6163
92,191,3713.990,3385,4270
93,375,4849.819,3387,6575
94,334,4237.491,3383,5453
95,280,4426.675,3393,5838
96,437,4416.838,3385,5630
97,358,6217.849,3400,9113
98,391,4328.205,3391,5213
99,273,4835.377,3396,5924
100,318,5476.374,3405,7928
101,462,5703.489,3397,8146
102,400,5739.408,3391,7755
103,409,5396.873,3386,7081
104,381,4624.635,3390,6004
105,360,4855.756,3390,6383
106,244,4487.545,3385,6289
107,387,5159.537,3392,7561
108,318,4515.075,3401,6313
109,410,4720.441,3383,6451
110,357,4218.711,3383,5669
111,237,4052.046,3385,4949
